Hazard Unique Identifier,Region,Hazard Event,Quarter,Year,Duration,Fatalities,Injuries,Property Damage,Hazard Event (Grouped)
1,3,Severe Storm/Thunder Storm,3,1960,1,0,0,74258,Storms
2,4,Wind,1,1960,1,0,0,71952,Wind
3,1,Winter Weather,1,1960,1,3,0,43429,Winter Weather
4,1,Winter Weather,1,1960,3,0,0,23533,Winter Weather
5,5,Winter Weather,1,1960,3,0,0,22145,Winter Weather
6,3,Winter Weather,1,1960,3,0,0,21192,Winter Weather
7,4,Winter Weather,1,1960,3,0,0,20617,Winter Weather
8,1,Severe Storm/Thunder Storm,3,1960,1,0,0,8644,Storms
9,1,Hail/ Severe Storm/Thunder Storm,2,1960,1,0,25,4271,Hail/Storms
10,1,Hail/ Wind,1,1960,1,0,0,2334,Hail/Storms
11,3,Hail/ Wind,1,1960,1,0,0,2316,Hail/Storms
12,5,Hail/ Wind,1,1960,1,0,0,2306,Hail/Storms
13,4,Hail/ Wind,1,1960,1,0,0,2300,Hail/Storms
14,1,Hail,4,1960,1,0,0,842,Hail
15,3,Wind,1,1960,1,0,0,789,Wind
16,2,Wind,3,1960,1,0,0,730,Wind
17,3,Hail/ Wind,3,1960,1,0,0,435,Hail/Storms
18,3,Wind,3,1960,1,0,0,401,Wind
19,3,Wind,4,1960,1,0,0,401,Wind
20,3,Severe Storm/Thunder Storm,3,1960,1,0,0,396,Storms
21,4,Hail,2,1960,1,0,0,0,Hail
22,1,Severe Storm/Thunder Storm,2,1961,2,0,0,278907,Storms
23,3,Lightning,2,1961,1,0,0,81186,Lightning
24,3,Severe Storm/Thunder Storm,2,1961,1,24,0,80274,Storms
25,2,Wind,2,1961,1,1,13,73503,Wind
26,5,Winter Weather,1,1961,2,0,0,18332,Winter Weather
27,6,Winter Weather,1,1961,2,0,0,17962,Winter Weather
28,4,Winter Weather,1,1961,2,0,0,17850,Winter Weather
29,1,Winter Weather,1,1961,2,0,0,17459,Winter Weather
30,3,Winter Weather,1,1961,2,0,0,16278,Winter Weather
31,2,Winter Weather,1,1961,2,0,0,16267,Winter Weather
32,1,Severe Storm/Thunder Storm,4,1961,4,0,0,13764,Storms
33,3,Severe Storm/Thunder Storm,3,1961,1,0,26,8660,Storms
34,4,Tornado,4,1961,1,0,0,8037,Storms
35,4,Lightning/ Wind,3,1961,1,0,0,4059,Wind
36,2,Lightning/ Wind,3,1961,1,0,0,4000,Wind
37,5,Lightning/ Wind,3,1961,1,0,0,3608,Wind
38,3,Lightning/ Wind,3,1961,1,0,0,3454,Wind
39,1,Severe Storm/Thunder Storm/ Wind,1,1961,1,0,0,2474,Storms
40,3,Severe Storm/Thunder Storm/ Wind,1,1961,1,0,0,2436,Storms
41,6,Severe Storm/Thunder Storm/ Wind,1,1961,1,0,0,2279,Storms
42,5,Severe Storm/Thunder Storm/ Wind,1,1961,1,0,0,2219,Storms
43,4,Severe Storm/Thunder Storm/ Wind,1,1961,1,0,0,2198,Storms
44,6,Wind,4,1961,1,0,0,1882,Wind
45,4,Wind,1,1961,1,0,0,1878,Wind
46,5,Wind,1,1961,1,0,0,1864,Wind
47,6,Wind,1,1961,1,0,0,1843,Wind
48,3,Winter Weather,1,1961,2,0,0,1837,Winter Weather
49,1,Winter Weather,1,1961,2,0,0,1813,Winter Weather
50,6,Winter Weather,1,1961,2,0,0,1808,Winter Weather
51,4,Winter Weather,1,1961,2,0,0,1769,Winter Weather
52,1,Wind,1,1961,1,0,0,1741,Wind
53,2,Wind,1,1961,1,0,0,1736,Wind
54,4,Wind,4,1961,1,0,0,1730,Wind
55,3,Wind,4,1961,1,0,0,1704,Wind
56,2,Wind,4,1961,1,0,0,1692,Wind
57,2,Winter Weather,1,1961,2,0,0,1677,Winter Weather
58,1,Wind,4,1961,1,0,0,1665,Wind
59,3,Wind,1,1961,1,0,0,1621,Wind
60,5,Winter Weather,1,1961,2,0,0,1614,Winter Weather
61,5,Wind,4,1961,1,0,0,1598,Wind
62,4,Tornado,1,1961,1,0,0,738,Storms
63,2,Coastal/ Wind,4,1962,8,0,0,124338,Coastal
64,2,Tornado,3,1962,1,0,0,79537,Storms
65,2,Coastal/ Wind,1,1962,3,3,0,11561,Coastal
66,4,Tornado,3,1962,1,0,0,7181,Storms
67,1,Winter Weather,1,1962,1,0,0,4019,Winter Weather
68,3,Hail/ Wind,2,1962,1,0,0,3184,Hail/Storms
69,5,Hail/ Wind,2,1962,1,0,0,3028,Hail/Storms
70,4,Hail/ Wind,2,1962,1,0,0,2926,Hail/Storms
71,4,Hail/ Wind,3,1962,1,0,0,2624,Hail/Storms
72,4,Wind,1,1963,1,0,0,216551,Wind
73,1,Winter Weather,4,1963,2,0,7,187182,Winter Weather
74,3,Winter Weather,4,1963,2,0,7,186717,Winter Weather
75,5,Winter Weather,4,1963,2,0,7,177895,Winter Weather
76,2,Winter Weather,4,1963,2,0,6,172382,Winter Weather
77,4,Winter Weather,4,1963,2,0,6,171210,Winter Weather
78,6,Winter Weather,4,1963,2,0,6,167213,Winter Weather
79,1,Severe Storm/Thunder Storm,1,1963,2,2,0,136891,Storms
80,1,Severe Storm/Thunder Storm,1,1963,2,0,0,130656,Storms
81,4,Hail,2,1963,1,0,0,73133,Hail
82,5,Tornado,3,1963,1,0,0,72285,Storms
83,4,Tornado,3,1963,1,0,0,71682,Storms
84,1,Severe Storm/Thunder Storm,3,1963,1,0,0,12962,Storms
85,4,Tornado,3,1963,1,0,12,8464,Storms
86,4,Hail,2,1963,1,0,0,7761,Hail
87,5,Severe Storm/Thunder Storm,3,1963,1,0,0,2449,Storms
88,6,Hail,2,1963,1,0,0,0,Hail
89,1,Hail,2,1963,1,0,0,0,Hail
90,1,Hail/ Wind,2,1963,1,0,0,0,Hail/Storms
91,2,Hail,2,1963,1,0,0,0,Hail
92,4,Hail,2,1963,1,0,0,0,Hail
93,3,Hail,2,1963,1,0,0,0,Hail
94,5,Hail,2,1963,1,0,0,0,Hail
95,2,Lightning,3,1963,1,11,0,0,Lightning
96,2,Lightning,3,1963,1,11,0,0,Lightning
97,1,Severe Storm/Thunder Storm,2,1964,3,0,0,1191538,Storms
98,3,Tornado,3,1964,1,0,0,827791,Storms
99,2,Severe Storm/Thunder Storm,2,1964,2,0,0,812494,Storms
100,5,Severe Storm/Thunder Storm,4,1964,3,2,0,187699,Storms
101,6,Severe Storm/Thunder Storm,4,1964,3,3,0,187458,Storms
102,4,Severe Storm/Thunder Storm,4,1964,3,1,0,185976,Storms
103,2,Severe Storm/Thunder Storm,4,1964,3,0,0,174863,Storms
104,1,Severe Storm/Thunder Storm,4,1964,3,2,0,162078,Storms
105,3,Severe Storm/Thunder Storm,4,1964,3,2,0,158822,Storms
106,1,Tornado,2,1964,1,0,0,83444,Storms
107,5,Lightning,3,1964,1,0,0,80219,Lightning
108,1,Lightning,2,1964,1,0,0,77484,Lightning
109,3,Tornado,3,1964,1,0,0,75970,Storms
110,2,Tornado,3,1964,1,0,0,75772,Storms
111,1,Lightning,3,1964,1,0,0,74480,Lightning
112,4,Severe Storm/Thunder Storm,3,1964,2,0,0,33986,Storms
113,3,Severe Storm/Thunder Storm,3,1964,2,0,0,33878,Storms
114,5,Severe Storm/Thunder Storm,3,1964,2,0,0,33000,Storms
115,6,Hurricane/Tropical Storm,3,1964,3,0,0,17798,Storms
116,4,Hurricane/Tropical Storm,3,1964,3,0,0,17397,Storms
117,5,Hurricane/Tropical Storm,3,1964,3,0,0,16937,Storms
118,3,Hurricane/Tropical Storm,3,1964,3,0,0,16882,Storms
119,1,Hurricane/Tropical Storm,3,1964,3,0,0,16362,Storms
120,2,Hurricane/Tropical Storm,3,1964,3,0,0,16081,Storms
121,5,Tornado,2,1964,1,0,0,8389,Storms
122,1,Hail,2,1964,1,0,0,7530,Hail
123,2,Severe Storm/Thunder Storm,3,1964,2,3,0,5062,Storms
124,4,Severe Storm/Thunder Storm,3,1964,2,3,0,4985,Storms
125,6,Winter Weather,1,1964,2,0,10,3930,Winter Weather
126,1,Winter Weather,1,1964,2,0,10,3656,Winter Weather
127,5,Hurricane/Tropical Storm,3,1964,2,0,0,1874,Storms
128,3,Flooding,1,1964,31,0,0,1861,Flooding
129,2,Wind,1,1964,1,0,1,1846,Wind
130,6,Flooding,1,1964,31,0,0,1840,Flooding
131,4,Wind,1,1964,1,0,2,1833,Wind
132,5,Wind,1,1964,1,0,0,1822,Wind
133,5,Flooding,1,1964,31,0,0,1794,Flooding
134,1,Hurricane/Tropical Storm,3,1964,2,0,0,1775,Storms
135,3,Wind,1,1964,1,0,0,1766,Wind
136,6,Hurricane/Tropical Storm,3,1964,2,0,0,1744,Storms
137,6,Wind,1,1964,1,0,0,1715,Wind
138,2,Flooding,1,1964,31,0,0,1701,Flooding
139,4,Hurricane/Tropical Storm,3,1964,2,0,0,1646,Storms
140,1,Wind,1,1964,1,0,3,1627,Wind
141,3,Hurricane/Tropical Storm,3,1964,2,0,0,1608,Storms
142,4,Flooding,1,1964,31,0,0,1596,Flooding
143,2,Hurricane/Tropical Storm,3,1964,2,0,0,1571,Storms
144,1,Flooding,1,1964,31,0,0,1552,Flooding
145,4,Tornado,2,1964,1,0,0,844,Storms
146,6,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
147,1,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
148,2,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
149,4,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
150,3,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
151,5,Severe Storm/Thunder Storm,4,1964,2,0,0,0,Storms
152,2,Lightning,3,1964,1,13,13,0,Lightning
153,6,Winter Weather,1,1964,2,0,0,0,Winter Weather
154,1,Winter Weather,1,1964,2,0,0,0,Winter Weather
155,2,Winter Weather,1,1964,2,0,0,0,Winter Weather
156,4,Winter Weather,1,1964,2,0,0,0,Winter Weather
157,3,Winter Weather,1,1964,2,0,0,0,Winter Weather
158,5,Winter Weather,1,1964,2,0,0,0,Winter Weather
159,3,Lightning,3,1964,1,0,347,0,Lightning
160,2,Tornado,4,1965,1,0,0,764462,Storms
161,2,Tornado,3,1965,1,0,511,734185,Storms
162,1,Hail/ Severe Storm/Thunder Storm,2,1965,1,0,0,86068,Hail/Storms
163,2,Tornado,2,1965,1,0,0,85957,Storms
164,1,Lightning,3,1965,1,0,0,83833,Lightning
165,3,Lightning,2,1965,1,0,0,80710,Lightning
166,2,Tornado,2,1965,1,0,0,74932,Storms
167,3,Lightning,2,1965,1,0,0,74623,Lightning
168,3,Severe Storm/Thunder Storm,3,1965,1,0,21,71413,Storms
169,3,Lightning/ Severe Storm/Thunder Storm,3,1965,1,0,0,42583,Lightning/Storms
170,3,Lightning/ Wind,3,1965,1,0,0,40582,Wind
171,3,Wind,1,1965,1,0,0,35724,Wind
172,5,Lightning,3,1965,1,0,2,18415,Lightning
173,3,Hail,2,1965,1,0,0,9643,Hail
174,1,Hail,2,1965,1,0,0,8372,Hail
175,3,Wind,1,1965,1,0,61,8099,Wind
176,4,Wind,4,1965,1,0,0,8058,Wind
177,4,Tornado,3,1965,1,0,0,7798,Storms
178,3,Severe Storm/Thunder Storm,3,1965,1,0,0,3724,Storms
179,3,Hail/ Severe Storm/Thunder Storm/ Wind,3,1965,31,0,0,1871,Hail/Storms
180,1,Lightning,3,1965,1,0,0,1846,Lightning
181,3,Lightning,3,1965,1,0,0,1836,Lightning
182,6,Lightning,3,1965,1,0,0,1832,Lightning
183,3,Hail/ Lightning/ Wind,3,1965,1,0,0,1824,Hail/Storms
184,2,Hail/ Lightning/ Wind,3,1965,1,0,0,1793,Hail/Storms
185,6,Hail/ Lightning/ Wind,3,1965,1,0,0,1788,Hail/Storms
