Region,Hazard Event,Quarter,Year,Duration,Fatalities,Injuries,Property Damage,Hazard Event Grouped
3,Severe Storm/Thunder Storm,3,1960,1,0,0,74258,Storms
4,Wind,1,1960,1,0,0,71952,Wind
1,Winter Weather,1,1960,1,3,0,43429,Winter Weather
1,Winter Weather,1,1960,3,0,0,23533,Winter Weather
5,Winter Weather,1,1960,3,0,0,22145,Winter Weather
3,Winter Weather,1,1960,3,0,0,21192,Winter Weather
4,Winter Weather,1,1960,3,0,0,20617,Winter Weather
1,Severe Storm/Thunder Storm,3,1960,1,0,0,8644,Storms
1,Hail/ Severe Storm/Thunder Storm,2,1960,1,0,25,4271,Hail/Storms
1,Hail/ Wind,1,1960,1,0,0,2334,Hail/Storms
3,Hail/ Wind,1,1960,1,0,0,2316,Hail/Storms
5,Hail/ Wind,1,1960,1,0,0,2306,Hail/Storms
4,Hail/ Wind,1,1960,1,0,0,2300,Hail/Storms
1,Hail,4,1960,1,0,0,842,Hail
3,Wind,1,1960,1,0,0,789,Wind
2,Wind,3,1960,1,0,0,730,Wind
3,Hail/ Wind,3,1960,1,0,0,435,Hail/Storms
3,Wind,3,1960,1,0,0,401,Wind
3,Wind,4,1960,1,0,0,401,Wind
3,Severe Storm/Thunder Storm,3,1960,1,0,0,396,Storms
4,Hail,2,1960,1,0,0,0,Hail
1,Severe Storm/Thunder Storm,2,1961,2,0,0,278907,Storms
3,Lightning,2,1961,1,0,0,81186,Lightning
3,Severe Storm/Thunder Storm,2,1961,1,24,0,80274,Storms
2,Wind,2,1961,1,1,13,73503,Wind
5,Winter Weather,1,1961,2,0,0,18332,Winter Weather
6,Winter Weather,1,1961,2,0,0,17962,Winter Weather
4,Winter Weather,1,1961,2,0,0,17850,Winter Weather
1,Winter Weather,1,1961,2,0,0,17459,Winter Weather
3,Winter Weather,1,1961,2,0,0,16278,Winter Weather
2,Winter Weather,1,1961,2,0,0,16267,Winter Weather
1,Severe Storm/Thunder Storm,4,1961,4,0,0,13764,Storms
3,Severe Storm/Thunder Storm,3,1961,1,0,26,8660,Storms
4,Tornado,4,1961,1,0,0,8037,Storms
4,Lightning/ Wind,3,1961,1,0,0,4059,Wind
2,Lightning/ Wind,3,1961,1,0,0,4000,Wind
5,Lightning/ Wind,3,1961,1,0,0,3608,Wind
3,Lightning/ Wind,3,1961,1,0,0,3454,Wind
1,Severe Storm/Thunder Storm/ Wind,1,1961,1,0,0,2474,Storms
3,Severe Storm/Thunder Storm/ Wind,1,1961,1,0,0,2436,Storms
6,Severe Storm/Thunder Storm/ Wind,1,1961,1,0,0,2279,Storms
5,Severe Storm/Thunder Storm/ Wind,1,1961,1,0,0,2219,Storms
4,Severe Storm/Thunder Storm/ Wind,1,1961,1,0,0,2198,Storms
6,Wind,4,1961,1,0,0,1882,Wind
4,Wind,1,1961,1,0,0,1878,Wind
5,Wind,1,1961,1,0,0,1864,Wind
6,Wind,1,1961,1,0,0,1843,Wind
3,Winter Weather,1,1961,2,0,0,1837,Winter Weather
1,Winter Weather,1,1961,2,0,0,1813,Winter Weather
6,Winter Weather,1,1961,2,0,0,1808,Winter Weather
4,Winter Weather,1,1961,2,0,0,1769,Winter Weather
1,Wind,1,1961,1,0,0,1741,Wind
2,Wind,1,1961,1,0,0,1736,Wind
4,Wind,4,1961,1,0,0,1730,Wind
3,Wind,4,1961,1,0,0,1704,Wind
2,Wind,4,1961,1,0,0,1692,Wind
2,Winter Weather,1,1961,2,0,0,1677,Winter Weather
1,Wind,4,1961,1,0,0,1665,Wind
3,Wind,1,1961,1,0,0,1621,Wind
5,Winter Weather,1,1961,2,0,0,1614,Winter Weather
5,Wind,4,1961,1,0,0,1598,Wind
4,Tornado,1,1961,1,0,0,738,Storms
2,Coastal/ Wind,4,1962,8,0,0,124338,Coastal
2,Tornado,3,1962,1,0,0,79537,Storms
2,Coastal/ Wind,1,1962,3,3,0,11561,Coastal
