Region,Field,Value
1,Property Value distribution <Ꝕ50K,0.043
1,Property Value distribution Ꝕ50K-Ꝕ99K,0.0459
1,Property Value distribution Ꝕ100K-Ꝕ149K,0.0695
1,Property Value distribution Ꝕ150K-Ꝕ199K,0.1604
1,Property Value distribution Ꝕ200K-Ꝕ249K,0.1078
1,Property Value distribution Ꝕ250K-Ꝕ299K,0.0818
1,Property Value distribution Ꝕ300K-Ꝕ399K,0.2292
1,Property Value distribution Ꝕ400K-Ꝕ499K,0.1151
1,Property Value distribution Ꝕ500K-Ꝕ749K,0.0528
1,Property Value distribution Ꝕ750K-Ꝕ999K,0.0573
1,Property Value distribution Ꝕ1M-Ꝕ1.499K,0.0199
1,Property Value distribution Ꝕ1.5M-Ꝕ1.99M,0.0113
1,Property Value distribution >=Ꝕ2M,0.006
2,Property Value distribution <Ꝕ50K,0.0633
2,Property Value distribution Ꝕ50K-Ꝕ99K,0.0537
2,Property Value distribution Ꝕ100K-Ꝕ149K,0.0693
2,Property Value distribution Ꝕ150K-Ꝕ199K,0.1531
2,Property Value distribution Ꝕ200K-Ꝕ249K,0.112
2,Property Value distribution Ꝕ250K-Ꝕ299K,0.0947
2,Property Value distribution Ꝕ300K-Ꝕ399K,0.2444
2,Property Value distribution Ꝕ400K-Ꝕ499K,0.1126
2,Property Value distribution Ꝕ500K-Ꝕ749K,0.0486
2,Property Value distribution Ꝕ750K-Ꝕ999K,0.031
2,Property Value distribution Ꝕ1M-Ꝕ1.499K,0.008
2,Property Value distribution Ꝕ1.5M-Ꝕ1.99M,0.0056
2,Property Value distribution >=Ꝕ2M,0.0037
3,Property Value distribution <Ꝕ50K,0.0356
3,Property Value distribution Ꝕ50K-Ꝕ99K,0.0623
3,Property Value distribution Ꝕ100K-Ꝕ149K,0.1123
3,Property Value distribution Ꝕ150K-Ꝕ199K,0.2161
3,Property Value distribution Ꝕ200K-Ꝕ249K,0.1053
3,Property Value distribution Ꝕ250K-Ꝕ299K,0.0761
3,Property Value distribution Ꝕ300K-Ꝕ399K,0.1894
3,Property Value distribution Ꝕ400K-Ꝕ499K,0.1008
3,Property Value distribution Ꝕ500K-Ꝕ749K,0.0434
3,Property Value distribution Ꝕ750K-Ꝕ999K,0.0426
3,Property Value distribution Ꝕ1M-Ꝕ1.499K,0.0087
3,Property Value distribution Ꝕ1.5M-Ꝕ1.99M,0.0036
3,Property Value distribution >=Ꝕ2M,0.0038
4,Property Value distribution <Ꝕ50K,0.1882
4,Property Value distribution Ꝕ50K-Ꝕ99K,0.1888
4,Property Value distribution Ꝕ100K-Ꝕ149K,0.1578
4,Property Value distribution Ꝕ150K-Ꝕ199K,0.1726
4,Property Value distribution Ꝕ200K-Ꝕ249K,0.0876
4,Property Value distribution Ꝕ250K-Ꝕ299K,0.0337
4,Property Value distribution Ꝕ300K-Ꝕ399K,0.1013
4,Property Value distribution Ꝕ400K-Ꝕ499K,0.0291
4,Property Value distribution Ꝕ500K-Ꝕ749K,0.0183
4,Property Value distribution Ꝕ750K-Ꝕ999K,0.0108
4,Property Value distribution Ꝕ1M-Ꝕ1.499K,0.0026
4,Property Value distribution Ꝕ1.5M-Ꝕ1.99M,0.006
4,Property Value distribution >=Ꝕ2M,0.0032
5,Property Value distribution <Ꝕ50K,0.0996
5,Property Value distribution Ꝕ50K-Ꝕ99K,0.1397
5,Property Value distribution Ꝕ100K-Ꝕ149K,0.1891
5,Property Value distribution Ꝕ150K-Ꝕ199K,0.1867
5,Property Value distribution Ꝕ200K-Ꝕ249K,0.1192
5,Property Value distribution Ꝕ250K-Ꝕ299K,0.0679
5,Property Value distribution Ꝕ300K-Ꝕ399K,0.126
5,Property Value distribution Ꝕ400K-Ꝕ499K,0.0419
5,Property Value distribution Ꝕ500K-Ꝕ749K,0.0139
5,Property Value distribution Ꝕ750K-Ꝕ999K,0.009
5,Property Value distribution Ꝕ1M-Ꝕ1.499K,0.0018
5,Property Value distribution Ꝕ1.5M-Ꝕ1.99M,0.0003
5,Property Value distribution >=Ꝕ2M,0.0049
6,Property Value distribution <Ꝕ50K,0.0759
6,Property Value distribution Ꝕ50K-Ꝕ99K,0.1579
6,Property Value distribution Ꝕ100K-Ꝕ149K,0.1336
6,Property Value distribution Ꝕ150K-Ꝕ199K,0.1605
6,Property Value distribution Ꝕ200K-Ꝕ249K,0.1025
6,Property Value distribution Ꝕ250K-Ꝕ299K,0.0582
6,Property Value distribution Ꝕ300K-Ꝕ399K,0.1702
6,Property Value distribution Ꝕ400K-Ꝕ499K,0.0801
6,Property Value distribution Ꝕ500K-Ꝕ749K,0.0305
6,Property Value distribution Ꝕ750K-Ꝕ999K,0.0158
6,Property Value distribution Ꝕ1M-Ꝕ1.499K,0.0108
6,Property Value distribution Ꝕ1.5M-Ꝕ1.99M,0
6,Property Value distribution >=Ꝕ2M,0.004
